Name,Longitude,Latitude,Elevation
Y 9,-80.2805555556,39.2886111111,
A 102,-81.6611111111,39.02,
A 104,-81.6655555556,38.8175,
B 102,-81.6486111111,39.0275,
C 84,-81.8358333333,38.9333333333,
C 99,-81.6283333333,38.6611111111,
E 106,-81.6261111111,38.7436111111,
E 93,-81.5422222222,38.8425,
E 99,-81.5980555556,38.6541666667,
F 101,-81.7466666667,39.0802777778,
F 103,-81.6652777778,39.0163888889,
F 108,-81.825,38.8725,
G 101,-81.7380555556,39.0738888889,
G 106,-81.65,38.74,
G 107,-81.7275,38.8086111111,
H 101,-81.7255555556,39.0733333333,
H 102,-81.6238888889,39.0411111111,
H 103,-81.6655555556,38.9944444444,
H 107,-81.7177777778,38.8116666667,
HUGHES,-81.7820499278,38.9205808056,
HUGHES AZ MK 1975,-81.7897558083,38.9236203889,
J 101,-81.7177777778,39.0805555556,
J 102,-81.64,39.0408333333,
J 106,-81.6644444444,38.7527777778,
J 93,-81.5566666667,38.8222222222,
K 101,-81.7091666667,39.0747222222,
K 102,-81.6447222222,39.0336111111,
K 93,-81.545,38.8222222222,
KING,-81.7567022389,39.0643991944,
L 105,-81.6597222222,38.6761111111,
L 99,-81.6355555556,38.5733333333,
N 105,-81.6658333333,38.6897222222,
N 106,-81.6836111111,38.7097222222,
N 107,-81.6013888889,38.7858333333,
N 108,-81.7841666667,38.7130555556,
N 331,-81.8725,38.8780555556,
N 94,-81.5377777778,38.6605555556,
P 106,-81.7008333333,38.7069444444,
P 107,-81.6041666667,38.7941666667,
P 108,-81.7705555556,38.7102777778,
PAT,-81.6796625139,38.9359208333,
PAT AZ MK,-81.6748349222,38.9335829194,
PERNEL,-81.5782782333,38.5771227083,
Q 107,-81.6127777778,38.7994444444,
Q 330,-81.8641666667,38.8808333333,
Q 99,-81.6530555556,38.6130555556,
S 330,-81.8077777778,38.9216666667,
T 107,-81.5802777778,38.8244444444,
T 330,-81.7897222222,38.9227777778,
U 101,-81.6983333333,39.0622222222,
U 103,-81.7008333333,38.8383333333,
U 107,-81.5922222222,38.82,
U 330,-81.7716666667,38.9169444444,
V 101,-81.6905555556,39.0530555556,
V 107,-81.6083333333,38.8252777778,
V 330,-81.7558333333,38.9255555556,
W 101,-81.6855555556,39.0433333333,
W 102,-81.6441666667,38.9827777778,
W 330,-81.7502777778,38.9377777778,
X 101,-81.6733333333,39.0355555556,
X 102,-81.66,38.9891666667,
X 107,-81.6325,38.8225,
X 330,-81.7719444444,38.9636111111,
X 98,-81.5408333333,38.6538888889,
Y 101,-81.6797222222,39.0244444444,
Y 102 RESET 1965,-81.6691666667,38.9911111111,
Y 107,-81.6488888889,38.8141666667,
Y 330,-81.775,39.0752777778,
Z 101,-81.6647222222,39.0202777778,
Z 330,-81.8338888889,38.8975,
A 78,-77.7736111111,39.2583333333,
B 78 RESET 1978,-77.7808333333,39.2458333333,
C 327,-77.8636111111,39.3,
D 327,-77.8616666667,39.3180555556,
D 78,-77.8155555556,39.2533333333,
F 78,-77.8441666667,39.2716666667,
G 327,-77.8675,39.3636111111,
J 327,-77.8916666667,39.3930555556,
J 78,-77.9533333333,39.2277777778,
K 327,-77.9055555556,39.3933333333,
K 78,-77.9552777778,39.2369444444,
N 78,-77.8394444444,39.1644444444,
P 78,-77.8311111111,39.1802777778,
Q 78,-77.8447222222,39.1727777778,
R 78,-77.8258333333,39.1922222222,
S 78,-77.8216666667,39.2077777778,
T 78,-77.8133333333,39.2241666667,
